ProductOrServiceCode,ProductOrServiceCodeText,Simple,IsService,ProductOrServiceArea,ProductServiceOrRnDarea
E1CA,PURCHASE OF SCHOOLS,Services,TRUE,FRS,FRS
E1CZ,E1CZ PURCHASE OF OTHER EDUCATIONAL BUILDINGS,Services,TRUE,FRS,FRS
E1DA,Purchase of Hospitals and infirmaries,Services,TRUE,FRS,FRS
E1DB,PURCHASE OF LABORATORIES AND CLINICS,Services,TRUE,FRS,FRS
E1DZ,PURCHASE OF OTHER HOSPITAL BUILDINGS,Services,TRUE,FRS,FRS
E1EA,PURCHASE OF AMMUNITION FACILITIES,Services,TRUE,FRS,FRS
E1EB,PURCHASE OF MAINTENANCE BUILDINGS,Services,TRUE,FRS,FRS
E1EC,E1EC PURCHASE OF PRODUCTION BUILDINGS,Services,TRUE,FRS,FRS
E1ED,PURCHASE OF SHIP CONSTRUCTION AND REPAIR FACILITIES,Services,TRUE,FRS,FRS
E1EE,PURCHASE OF TANK AUTOMOTIVE FACILITIES,Services,TRUE,FRS,FRS
E1EZ,PURCHASE OF OTHER INDUSTRIAL BUILDINGS,Services,TRUE,FRS,FRS
E1FA,PURCHASE OF FAMILY HOUSING FACILITIES,Services,TRUE,FRS,FRS
E1FB,PURCHASE OF RECREATIONAL BUILDINGS,Services,TRUE,FRS,FRS
E1FC,PURCHASE OF TROOP HOUSING FACILITIES,Services,TRUE,FRS,FRS
E1FD,PURCHASE OF DINING FACILITIES,Services,TRUE,FRS,FRS
E1FE,PURCHASE OF RELIGIOUS FACILITIES,Services,TRUE,FRS,FRS
E1FF,PURCHASE OF PENAL FACILITIES,Services,TRUE,FRS,FRS
E1FZ,PURCHASE OF OTHER RESIDENTIAL BUILDINGS,Services,TRUE,FRS,FRS
E1GA,PURCHASE OF AMMUNITION STORAGE BUILDINGS,Services,TRUE,FRS,FRS
E1GB,PURCHASE OF FOOD OR GRAIN STORAGE BUILDINGS,Services,TRUE,FRS,FRS
E1GC,PURCHASE OF FUEL STORAGE BUILDINGS,Services,TRUE,FRS,FRS
E1GD,PURCHASE OF OPEN STORAGE FACILITIES,Services,TRUE,FRS,FRS
E1GZ,PURCHASE OF OTHER WAREHOUSE BUILDINGS,Services,TRUE,FRS,FRS
E1HA,E1HA PURCHASE OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,R&D,TRUE,R&D,R&D facilities and major equipment
E1HB,PURCHASE OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES,R&D,TRUE,R&D,R&D facilities and major equipment
E1HC,PURCHASE OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) ENVIRONMENTAL LABORATORIES,R&D,TRUE,R&D,R&D facilities and major equipment
E1HZ,PURCHASE OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) ENVIRONMENTAL LABORATORIES,R&D,TRUE,R&D,R&D facilities and major equipment
E1JA,PURCHASE OF MUSEUMS AND EXHIBITION BUILDINGS,Services,TRUE,FRS,FRS
E1JB,PURCHASE OF TESTING AND MEASUREMENT BUILDINGS,Services,TRUE,FRS,FRS
E1JZ,PURCHASE OF MISCELLANEOUS BUILDINGS,Services,TRUE,FRS,FRS
E1KA,Purchase of Dams,Services,TRUE,FRS,FRS
E1KB,PURCHASE OF CANALS,Services,TRUE,FRS,FRS
E1KC,E1KC PURCHASE OF MINE FIRE CONTROL FACILITIES,Services,TRUE,FRS,FRS
E1KD,E1KD PURCHASE OF MINE SUBSIDENCE CONTROL FACILITIES,Services,TRUE,FRS,FRS
E1KE,E1KE PURCHASE OF SURFACE MINE RECLAMATION FACILITIES,Services,TRUE,FRS,FRS
E1KF,E1KF PURCHASE OF DREDGING FACILITIES,Services,TRUE,FRS,FRS
E1KZ,PURCHASE OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES,Services,TRUE,FRS,FRS
E1LA,PURCHASE OF AIRPORT SERVICE ROADS,Services,TRUE,FRS,FRS
E1LB,"PURCHASE OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",Services,TRUE,FRS,FRS
E1LC,PURCHASE OF TUNNELS AND SUBSURFACE STRUCTURES,Services,TRUE,FRS,FRS
E1LZ,PURCHASE OF PARKING FACILITIES,Services,TRUE,FRS,FRS
E1MA,E1MA PURCHASE OF EPG FACILITIES - COAL,Services,TRUE,FRS,FRS
E1MB,PURCHASE OF EPG FACILITIES - GAS,Services,TRUE,FRS,FRS
E1MC,E1MC PURCHASE OF EPG FACILITIES - GEOTHERMAL,Services,TRUE,FRS,FRS
E1MD,PURCHASE OF EPG FACILITIES - HYDRO,Services,TRUE,FRS,FRS
